comparison_sample,parameter,period,full_sample_pct_change,comparison_sample_pct_change,absolute_difference_percentage_points,relative_difference_percent
Excluding top 10% absolute sampling-bias CBGs,store_area,2018_2019,0.7722519703224966,1.3611232281818397,0.5888712578593431,76.25377214815359
Excluding top 10% absolute sampling-bias CBGs,store_area,2019_2020,78.57920139308493,77.70797718786484,-0.8712242052200878,-1.1087211243874473
Excluding top 10% absolute sampling-bias CBGs,store_area,2020_2021,1.3389933603593158,1.4772003334885344,0.1382069731292186,10.321707128714294
Excluding top 10% absolute sampling-bias CBGs,store_area,2019_2021,80.97036504272103,80.3330800195197,-0.6372850232013292,-0.7870595900921149
Excluding top 10% absolute sampling-bias CBGs,chain_loyalty,2018_2019,-0.09888578999364273,-0.08246867540429278,0.01641711458934994,16.60209681330895
Excluding top 10% absolute sampling-bias CBGs,chain_loyalty,2019_2020,43.461658269460024,44.19212640978213,0.7304681403221025,1.6807185215834104
Excluding top 10% absolute sampling-bias CBGs,chain_loyalty,2020_2021,0.263058392551602,-0.10004682817331408,-0.3631052207249161,-138.0321749870378
Excluding top 10% absolute sampling-bias CBGs,chain_loyalty,2019_2021,43.83904620163154,44.047866760833486,0.2088205592019463,0.4763346315554072
Excluding top 10% absolute sampling-bias CBGs,poi_count,2018_2019,-0.7976588231580292,-0.47085500526138924,0.3268038178966399,40.97037585603121
Excluding top 10% absolute sampling-bias CBGs,poi_count,2019_2020,27.934428380291113,28.123484933278405,0.1890565529872923,0.6767869040079569
Excluding top 10% absolute sampling-bias CBGs,poi_count,2020_2021,13.145700335522333,13.075851988485837,-0.0698483470364959,-0.5313398697196191
Excluding top 10% absolute sampling-bias CBGs,poi_count,2019_2021,44.75230496112762,44.87672218564384,0.12441722451622184,0.27801299759708936
Excluding top 10% absolute sampling-bias CBGs,poi_diversity,2018_2019,0.7592736050564934,1.1417528908428483,0.3824792857863548,50.37436877025333
Excluding top 10% absolute sampling-bias CBGs,poi_diversity,2019_2020,12.20235795794165,11.932686018048189,-0.2696719398934615,-2.2099985988195923
Excluding top 10% absolute sampling-bias CBGs,poi_diversity,2020_2021,3.227388750016426,3.110707539898247,-0.11668121011817867,-3.6153441421516024
Excluding top 10% absolute sampling-bias CBGs,poi_diversity,2019_2021,15.82356423592942,15.414584521622244,-0.4089797143071756,-2.5846244765672646
Excluding top 10% absolute sampling-bias CBGs,demographic_similarity,2018_2019,-0.4242017445921579,-0.6101303419009175,-0.1859285973087596,-43.83022929043296
Excluding top 10% absolute sampling-bias CBGs,demographic_similarity,2019_2020,2.4982972296433967,2.6833668401456365,0.1850696105022398,7.407829953390148
Excluding top 10% absolute sampling-bias CBGs,demographic_similarity,2020_2021,-0.3150477896393657,0.18640331251582953,0.5014511021551953,159.16667840431603
Excluding top 10% absolute sampling-bias CBGs,demographic_similarity,2019_2021,2.1753786098034182,2.874772037338449,0.6993934275350306,32.15042312097721
Excluding top 10% absolute sampling-bias CBGs,distance,2018_2019,-0.5867864753767484,-0.43399706200601984,0.1527894133707286,26.03833247394286
Excluding top 10% absolute sampling-bias CBGs,distance,2019_2020,-22.532490659570026,-22.264852647300245,0.26763801226978146,1.187787077395769
Excluding top 10% absolute sampling-bias CBGs,distance,2020_2021,-15.965860426693508,-15.80160581602251,0.1642546106709979,1.028786462371791
Excluding top 10% absolute sampling-bias CBGs,distance,2019_2021,-34.90084507689883,-34.54825421247812,0.3525908644207121,1.010264547015496
Excluding top 20% absolute sampling-bias CBGs,store_area,2018_2019,0.7722519703224966,1.346890998799074,0.5746390284765774,74.4108206336599
Excluding top 20% absolute sampling-bias CBGs,store_area,2019_2020,78.57920139308493,78.082026942118,-0.4971744509669236,-0.6327048915652069
Excluding top 20% absolute sampling-bias CBGs,store_area,2020_2021,1.3389933603593158,1.534207633413589,0.1952142730542732,14.57918155784491
Excluding top 20% absolute sampling-bias CBGs,store_area,2019_2021,80.97036504272103,80.81417499320162,-0.1561900495194095,-0.19289779592447384
Excluding top 20% absolute sampling-bias CBGs,chain_loyalty,2018_2019,-0.09888578999364273,-0.3357359438796717,-0.23685015388602898,-239.5188974080663
Excluding top 20% absolute sampling-bias CBGs,chain_loyalty,2019_2020,43.461658269460024,44.250275395730405,0.7886171262703812,1.814512279722499
Excluding top 20% absolute sampling-bias CBGs,chain_loyalty,2020_2021,0.263058392551602,-0.19820077446162115,-0.46125916701322317,-175.34478278344292
Excluding top 20% absolute sampling-bias CBGs,chain_loyalty,2019_2021,43.83904620163154,43.96437023273305,0.12532403110151336,0.28587307881905794
Excluding top 20% absolute sampling-bias CBGs,poi_count,2018_2019,-0.7976588231580292,-0.46382762016417906,0.3338312029938501,41.85137721816596
Excluding top 20% absolute sampling-bias CBGs,poi_count,2019_2020,27.934428380291113,28.288866933128133,0.35443855283702064,1.2688233602341819
Excluding top 20% absolute sampling-bias CBGs,poi_count,2020_2021,13.145700335522333,12.165312198955656,-0.9803881365666776,-7.457861593858724
Excluding top 20% absolute sampling-bias CBGs,poi_count,2019_2021,44.75230496112762,43.895608112045956,-0.8566968490816649,-1.914307765434209
Excluding top 20% absolute sampling-bias CBGs,poi_diversity,2018_2019,0.7592736050564934,0.8017304324261266,0.04245682736963319,5.591769170808224
Excluding top 20% absolute sampling-bias CBGs,poi_diversity,2019_2020,12.20235795794165,12.634273367893908,0.4319154099522571,3.5396061272825876
Excluding top 20% absolute sampling-bias CBGs,poi_diversity,2020_2021,3.227388750016426,2.3083993004834658,-0.91898944953296,-28.474705736279297
Excluding top 20% absolute sampling-bias CBGs,poi_diversity,2019_2021,15.82356423592942,15.234322146423008,-0.5892420895064117,-3.723826571060788
Excluding top 20% absolute sampling-bias CBGs,demographic_similarity,2018_2019,-0.4242017445921579,-0.4977313017434913,-0.07352955715133336,-17.333629125459442
Excluding top 20% absolute sampling-bias CBGs,demographic_similarity,2019_2020,2.4982972296433967,3.616483941334799,1.1181867116914024,44.75795347421534
Excluding top 20% absolute sampling-bias CBGs,demographic_similarity,2020_2021,-0.3150477896393657,0.07499735828999893,0.3900451479293646,123.80507362893998
Excluding top 20% absolute sampling-bias CBGs,demographic_similarity,2019_2021,2.1753786098034182,3.694193567043781,1.5188149572403629,69.8184192119832
Excluding top 20% absolute sampling-bias CBGs,distance,2018_2019,-0.5867864753767484,-0.5774967227794088,0.009289752597339662,1.5831572449544176
Excluding top 20% absolute sampling-bias CBGs,distance,2019_2020,-22.532490659570026,-22.37441417486747,0.15807648470255486,0.7015490967724708
Excluding top 20% absolute sampling-bias CBGs,distance,2020_2021,-15.965860426693508,-15.06487909309061,0.900981333602898,5.64317430770306
Excluding top 20% absolute sampling-bias CBGs,distance,2019_2021,-34.90084507689883,-34.06861482472697,0.8322302521718612,2.384556162861287
